===== Headers
# internalName	tex1	tex2	matrix	scripts	levelscripts	texts	musicDay	musicNight	events	name	nameStyle	nameframe	weather	followMode	nameStyle	flags	tileset
R17	15	0	0	209	454	357	1216	1216	22	Route 17	195	1	2	40	246	127	16
R18	15	0	0	210	455	358	1056	1056	23	Route 18	195	1	2	8	246	129	10
R22	15	0	0	212	457	360	1051	1051	24	Route 22	195	1	2	8	246	130	13
R24	15	0	0	215	460	362	1061	1061	25	Route 24	195	1	2	8	246	131	13
R25	15	0	0	216	461	363	1061	1061	26	Route 25	195	1	2	8	246	103	2
R26	15	0	0	218	463	365	1062	1062	27	Route 26	195	1	2	8	246	104	2
R27	15	0	0	221	466	369	1062	1062	28	Route 27	163	1	2	8	246	105	10
R28	15	0	0	223	468	371	1085	1085	29	Route 28	195	1	2	8	246	1	2
R29	15	0	0	225	470	373	1028	1028	30	Route 29	179	0	2	8	246	3	2
R30	15	0	0	227	472	375	1029	1029	31	Route 30	179	0	2	8	246	4	2
R31	15	0	0	230	475	378	1029	1029	32	Route 31	179	0	2	8	246	8	3
R32	15	0	0	232	477	380	1030	1030	33	Route 32	179	0	2	8	246	17	4
R33	15	0	0	236	481	383	1031	1031	34	Route 33	179	2	2	8	246	21	5
R34	15	0	0	237	482	384	1032	1032	35	Route 34	179	0	2	8	246	22	6
R35	15	0	0	240	485	387	1033	1033	36	Route 35	179	0	2	8	246	25	6
R36	15	0	0	243	488	390	1033	1033	37	Route 36	179	0	2	8	246	26	6
R37	15	0	0	246	491	393	1033	1033	38	Route 37	179	0	2	8	246	38	7
R38	15	0	0	247	492	394	1036	1036	39	Route 38	179	0	2	8	246	39	7
R39	15	0	0	249	494	396	1036	1036	40	Route 39	179	0	2	8	246	52	8
R42	15	0	0	252	497	399	1037	1037	41	Route 42	179	0	2	8	246	57	8
R43	15	0	0	254	499	401	1037	1037	42	Route 43	179	0	2	8	246	59	8
R44	15	0	0	257	502	404	1037	1037	43	Route 44	179	0	2	8	246	67	9
R45	15	0	0	258	503	405	1035	1035	44	Route 45	179	0	2	8	246	68	9
R46	15	0	0	259	504	406	1035	1035	45	Route 46	179	0	2	8	246	95	18
T01	15	0	0	735	508	446	1046	1046	46	Pallet Town	194	1	1	8	246	96	10
T02	15	0	0	741	514	452	1045	1045	47	Viridian City	193	1	1	40	246	255	17
T03	15	0	0	750	523	460	1044	1044	48	Pewter City	193	1	1	40	246	97	13
T04	15	0	0	758	531	467	1040	1040	49	Cerulean City	193	1	1	40	246	255	14
T05	15	0	0	767	540	475	1041	1041	50	Lavender Town	194	1	1	40	246	98	11
T06	15	0	0	776	549	483	1038	1038	51	Vermilion City	193	1	1	40	246	99	15
T07	15	0	0	785	558	491	1042	1042	52	Celadon City	193	1	1	40	246	100	16
T08	15	0	0	807	580	512	1043	1043	53	Fuchsia City	193	1	1	40	246	101	18
T09	15	0	0	815	588	519	1047	1047	54	Cinnabar Island	194	1	1	40	246	255	10
T10	15	0	0	818	591	521	1085	1085	55	Indigo Plateau	195	1	2	40	246	255	12
T11	15	0	0	827	600	529	1039	1039	56	Saffron City	193	1	1	40	246	0	2
T20	15	0	0	842	615	542	1018	1018	57	New Bark Town	2	0	1	8	246	255	25
T20R0101	95	49	100	843	616	543	1066	1066	58	New Bark Town	9	0	68	100	228	255	25
T20R0102	95	49	101	844	617	544	1018	1018	59	New Bark Town	9	0	68	100	228	255	25
T20R0201	95	49	71	845	618	545	1018	1018	60	New Bark Town	9	0	68	100	228	255	25
T20R0202	95	49	72	846	619	546	1018	1018	61	New Bark Town	9	0	68	100	228	255	25
T20R0301	95	49	66	847	620	547	1018	1018	62	New Bark Town	9	0	68	100	228	255	25
T20R0401	95	49	71	848	621	548	1018	1018	63	New Bark Town	9	0	68	100	228	2	2
T21	15	0	0	850	623	550	1019	1019	64	Cherrygrove City	17	0	1	8	246	255	27
T21FS0101	31	49	104	851	624	551	1064	1064	65	Cherrygrove City	25	0	68	100	228	255	26
T21PC0101	31	49	73	852	625	552	1063	1063	66	Cherrygrove City	25	0	68	100	228	255	25
T21R0301	15	49	97	854	627	553	1019	1019	67	Cherrygrove City	25	0	68	100	228	255	25
T21R0401	31	49	96	855	628	554	1019	1019	68	Cherrygrove City	25	0	68	100	228	255	25
T21R0501	31	49	97	856	629	555	1019	1019	69	Cherrygrove City	25	0	68	100	228	5	3
T22	15	0	0	857	630	556	1020	1020	70	Violet City	33	0	1	40	246	255	4
T23	15	0	0	866	639	564	1021	1021	71	Azalea Town	50	0	1	8	246	51	7
T24	15	0	0	875	648	572	1025	1025	72	Cianwood City	65	0	1	40	246	255	5
T25	15	0	0	885	658	581	1022	1022	73	Goldenrod City	81	0	1	40	246	40	7
T26	15	0	0	911	684	604	1024	1024	74	Olivine City	97	0	1	40	246	27	6
T27	15	0	0	920	693	612	1023	1023	75	Ecruteak City	113	0	1	40	246	255	27
T27FS0101	207	20	104	921	694	613	1064	1064	76	Ecruteak City	121	0	68	100	228	255	31
T27GYM0101	191	20	90	922	695	614	1065	1065	77	Ecruteak City	121	0	4	100	164	255	26
T27PC0101	207	20	73	923	696	615	1063	1063	78	Ecruteak City	121	0	68	100	228	255	25
T27R0101	15	0	66	139	399	3	1023	1023	79	Jubilife City	121	0	68	100	224	255	61
T27R0201	207	16	68	926	699	616	1023	1023	80	Ecruteak City	121	0	68	100	228	255	25
T27R0801	191	20	66	929	702	619	1023	1023	81	Ecruteak City	121	0	68	100	228	255	25
T27R0401	191	20	66	927	700	617	1023	1023	82	Ecruteak City	121	0	68	100	228	255	61
T27R0501	207	20	126	928	701	618	1068	1068	83	Ecruteak City	121	0	244	100	228	255	8
T28	15	0	0	930	703	620	1026	1026	84	Mahogany Town	162	0	1	8	246	58	8
T29	15	0	0	938	711	626	1037	1037	85	Lake of Rage	152	2	2	8	246	65	9
T30	15	0	0	941	714	629	1027	1027	86	Blackthorn City	161	0	1	8	246	85	10
T31	15	0	0	949	722	636	1085	1085	87	Mt. Silver	147	0	1	8	246	93	18
W19	15	0	0	958	727	740	1056	1056	88	Route 19	198	1	2	8	246	94	18
W20	15	0	0	960	729	742	1056	1056	89	Route 20	198	1	2	24	246	128	18
W21	15	0	0	961	730	743	1058	1058	90	Route 21	198	1	2	24	246	41	7
W40	15	0	0	962	731	744	1034	1034	91	Route 40	182	0	2	24	246	42	7
W41	15	0	0	964	733	746	1034	1034	92	Route 41	182	0	2	24	246	23	71
D22R0101	191	28	27	25	286	62	1075	1075	93	National Park	151	0	1	8	246	255	63
R31R0101	15	33	70	231	476	379	1029	1029	94	Route 31	169	0	68	100	230	255	63
R32R0101	239	36	70	235	480	382	1030	1030	95	Route 32	169	0	68	100	230	14	87
D25R0101	239	52	42	56	317	87	1073	1073	96	Union Cave	132	0	3	152	238	255	63
T23R0101	191	56	70	872	645	569	1033	1033	97	Azalea Town	57	0	68	100	230	255	63
R35R0101	191	36	69	241	486	388	1033	1033	98	Route 35	169	0	68	100	230	255	63
R35R0201	191	32	196	242	487	389	1033	1033	99	Route 35	169	0	68	100	230	255	63
R36R0101	223	28	69	244	489	391	1033	1033	100	Route 36	169	0	68	100	230	255	63
R36R0201	207	28	70	245	490	392	1033	1033	101	Route 36	169	0	68	100	230	255	63
T27R0601	15	0	70	139	399	3	1033	1033	102	Jubilife City	121	0	68	100	224	133	82
D01R0101	15	18	2	5	266	47	1082	1082	103	Diglett’s Cave	196	1	3	168	238	106	70
D02R0101	79	14	3	7	268	49	1073	1073	104	Mt. Moon	196	1	3	120	238	108	83
D05R0101	207	18	6	139	399	3	1082	1082	105	Rock Tunnel	196	23	3	152	238	255	75
D10R0101	95	50	8	12	273	52	1159	1159	106	Pal Park	135	1	2	8	166	255	77
D15R0101	255	28	12	16	277	54	1072	1072	107	Sprout Tower	148	0	3	136	236	255	77
D17R0101	207	16	15	19	280	57	1077	1077	108	Bell Tower	148	0	3	136	236	255	36
D23R0101	175	40	28	29	290	65	1022	1022	109	Radio Tower	153	0	68	100	228	9	20
D24R0101	15	0	0	37	298	72	1073	1073	110	Ruins of Alph	148	0	2	72	246	255	84
D26R0101	223	56	45	59	320	90	1073	1073	111	Slowpoke Well	180	0	3	152	238	255	47
D27R0101	159	32	47	62	323	93	1078	1078	112	Lighthouse	153	0	3	100	236	255	27
D35R0101	15	21	138	88	349	111	1026	1026	113	Mahogany Town	169	0	68	100	228	20	74
D36R0101	191	56	56	92	353	115	1073	1073	114	Ilex Forest	181	0	3	56	238	255	62
D37R0101	175	44	57	93	354	116	1022	1022	115	Goldenrod Tunnel	89	0	68	100	228	53	79
D38R0101	239	20	62	139	399	3	1073	1073	116	Mt. Mortar	132	0	3	152	238	60	76
D39R0101	95	17	132	99	360	122	1080	1080	117	Ice Path	132	0	3	152	238	43	85
D40R0101	127	44	141	139	399	3	1073	1073	118	Whirl Islands	180	22	3	152	238	86	80
D41R0101	159	33	265	105	366	3	1078	1078	119	Mt. Silver Cave	164	0	3	152	238	70	87
D42R0101	79	25	98	108	369	127	1080	1080	120	Dark Cave	132	22	3	152	238	110	70
D43R0101	207	29	161	139	399	3	1084	1084	121	Victory Road	180	1	3	184	238	255	86
D44R0101	79	17	145	139	399	3	1081	1081	122	Dragon’s Den	180	0	3	152	238	132	70
D45R0101	127	49	151	113	374	3	1073	1073	123	Tohjo Falls	180	1	3	152	238	255	25
R30R0101	31	45	66	228	473	376	1029	1029	124	Route 30	169	0	68	100	228	255	26
T27PC0102	207	20	74	139	399	3	1063	1063	125	Ecruteak City	121	0	68	100	228	255	26
T27PC0103	207	20	75	139	399	3	1063	1063	126	Ecruteak City	121	0	68	100	228	255	26
T27PC0104	207	20	76	139	399	3	1063	1063	0	Ecruteak City	121	0	68	100	228	255	26
T27PC0105	207	20	77	924	697	3	1063	1063	127	Ecruteak City	121	0	68	100	228	255	63
R42R0101	223	20	70	253	498	400	1037	1037	128	Route 42	169	0	68	100	230	255	25
T28R0201	15	21	95	937	710	625	1026	1026	129	Mahogany Town	169	0	68	100	228	255	63
R29R0101	63	49	69	226	471	374	1028	1028	130	Route 29	169	0	68	100	230	255	28
T22GYM0101	239	32	87	859	632	558	1065	1065	131	Violet City	41	0	20	100	164	255	29
T23GYM0101	207	56	88	868	641	566	1065	1065	132	Azalea Town	57	0	68	100	164	255	30
T25GYM0101	191	40	89	886	659	582	1065	1065	133	Goldenrod City	89	0	36	100	164	255	32
T26GYM0101	143	28	91	913	686	606	1065	1065	134	Olivine City	105	0	68	100	164	255	33
T24GYM0101	95	44	92	877	650	574	1065	1065	135	Cianwood City	73	0	4	116	164	255	34
T28GYM0101	15	21	229	932	705	622	1065	1065	136	Mahogany Town	169	0	4	116	164	255	35
T30GYM0101	79	17	94	943	716	631	1065	1065	137	Blackthorn City	169	0	4	100	164	255	63
R43R0101	15	17	69	255	500	402	1037	1037	138	Route 43	169	0	68	100	230	255	61
R30R0201	31	37	103	229	474	377	1029	1029	139	Route 30	169	0	68	100	228	255	26
T21PC0102	31	49	77	853	626	3	1063	1063	140	Cherrygrove City	25	0	68	100	228	139	73
D03R0101	143	14	78	139	399	3	1082	1082	141	Cerulean Cave	164	23	3	152	238	74	70
D11R0101	63	62	81	139	399	3	1080	1080	142	Seafoam Islands	164	1	3	152	238	137	103
D46R0101	15	22	86	115	376	132	1083	1083	143	Viridian Forest	165	1	3	56	238	255	25
R09R0101	15	0	66	139	399	3	1044	1044	0	Power Plant	201	1	68	100	224	255	63
T22R0701	223	28	70	865	638	563	1033	1033	144	Route 36	41	0	68	100	230	255	63
D22R0201	191	28	69	28	289	64	1134	1134	145	Pokéathlon Dome	153	0	68	100	228	71	19
R47	15	0	0	260	505	407	1157	1157	146	Route 47	163	0	2	72	246	102	19
R48	15	0	0	261	506	408	1157	1157	147	Route 48	163	0	2	72	246	15	87
D25R0102	239	52	43	57	318	88	1073	1073	148	Union Cave	132	0	3	168	238	16	87
D25R0103	239	52	44	58	319	89	1073	1073	149	Union Cave	132	0	3	184	238	6	77
D15R0102	255	28	13	17	278	55	1072	1072	150	Sprout Tower	148	0	3	136	236	7	77
D15R0103	255	28	14	18	279	56	1072	1072	151	Sprout Tower	148	0	3	136	236	255	27
T22FS0101	239	32	104	858	631	557	1064	1064	152	Violet City	41	0	68	100	228	255	26
T22PC0101	255	32	73	860	633	559	1063	1063	153	Violet City	41	0	68	100	228	255	61
T22R0301	255	32	102	862	635	560	1020	1020	154	Violet City	41	0	68	100	228	255	25
T22R0401	239	32	95	863	636	561	1020	1020	155	Violet City	41	0	68	100	228	255	25
T22R0501	15	0	66	139	399	3	1019	1019	0	Jubilife City	48	0	68	100	224	255	25
T22R0601	255	32	95	864	637	562	1020	1020	156	Violet City	41	0	68	100	228	255	61
T23R0201	223	56	125	873	646	570	1021	1021	157	Azalea Town	57	0	68	100	228	255	61
T23R0501	207	56	127	874	647	571	1021	1021	158	Azalea Town	57	0	68	100	228	255	27
T23FS0101	223	56	104	867	640	565	1064	1064	159	Azalea Town	57	0	68	100	228	255	26
T23PC0101	207	56	73	870	643	568	1063	1063	160	Azalea Town	57	0	68	100	228	255	26
T22PC0102	255	32	77	861	634	3	1063	1063	161	Violet City	41	0	68	100	228	255	26
T23PC0102	207	56	77	871	644	3	1063	1063	162	Azalea Town	57	0	68	100	228	255	26
R32PC0101	239	52	73	233	478	381	1063	1063	163	Route 32	169	0	68	100	228	255	26
R32PC0102	239	52	77	234	479	3	1063	1063	164	Route 32	169	0	68	100	228	255	63
R34R0201	191	56	69	239	484	386	1032	1032	165	Route 34	169	0	68	100	230	255	63
R38R0101	175	20	70	248	493	395	1036	1036	166	Route 38	169	0	68	100	230	255	39
D47R0101	47	32	227	119	380	135	1158	1158	167	Safari Zone Gate	135	0	68	100	228	255	19
D47	15	0	0	116	377	133	1158	1158	168	Safari Zone Gate	131	0	2	8	246	255	25
T27R0301	15	0	66	139	399	3	1023	1023	0	Jubilife City	121	0	68	100	224	69	87
D42R0102	31	33	99	139	399	3	1080	1080	169	Dark Cave	132	22	3	152	238	18	84
D26R0102	223	56	46	60	321	91	1073	1073	170	Slowpoke Well	180	0	3	168	238	134	70
D43R0102	207	29	162	109	370	3	1084	1084	171	Victory Road	180	1	3	168	238	135	70
D43R0103	207	29	163	110	371	128	1084	1084	172	Victory Road	180	1	3	184	238	255	29
T23GYM0102	207	56	105	869	642	567	1065	1065	173	Azalea Town	57	0	84	132	164	19	84
D26R0103	223	56	106	61	322	92	1073	1073	174	Slowpoke Well	180	0	3	184	238	255	27
T25R0201	191	44	107	890	663	584	1022	1022	175	Goldenrod City	89	0	68	100	228	255	27
T25R1101	175	44	109	906	679	599	1069	1069	176	Goldenrod City	89	0	68	100	228	255	27
T25R0601	191	40	108	896	669	589	1022	1022	177	Goldenrod City	89	0	68	100	228	255	26
T25PC0101	191	44	73	887	660	583	1063	1063	178	Goldenrod City	89	0	68	100	228	255	36
D23R0102	175	40	29	30	291	66	1022	1022	179	Radio Tower	153	0	68	100	228	255	36
D23R0103	175	40	30	31	292	67	1022	1022	180	Radio Tower	153	0	68	100	228	255	36
D23R0104	175	40	31	32	293	68	1022	1022	181	Radio Tower	153	0	68	100	228	255	36
D23R0105	175	40	32	33	294	69	1022	1022	182	Radio Tower	153	0	68	100	228	255	36
D23R0106	175	40	110	34	295	70	1022	1022	183	Radio Tower	153	0	4	100	228	255	62
T25R1001	191	44	113	899	672	592	1064	1064	184	Goldenrod City	89	0	68	100	228	255	62
T25R1002	191	44	114	900	673	593	1064	1064	185	Goldenrod City	89	0	68	100	228	255	62
T25R1003	191	44	115	901	674	594	1064	1064	186	Goldenrod City	89	0	68	100	228	255	62
T25R1004	191	44	116	902	675	595	1064	1064	187	Goldenrod City	89	0	68	100	228	255	62
T25R1005	191	44	117	903	676	596	1064	1064	188	Goldenrod City	89	0	68	100	228	255	62
T25R1006	191	44	118	904	677	597	1064	1064	189	Goldenrod City	89	0	68	100	228	255	48
T25R0501	175	40	111	893	666	587	1022	1022	190	Goldenrod City	89	0	68	100	228	255	48
T25R0502	175	40	112	894	667	588	1022	1022	191	Goldenrod City	89	0	68	96	228	255	62
D37R0102	175	44	58	94	355	117	1022	1022	192	Goldenrod Tunnel	89	0	4	100	228	255	62
D37R0103	191	44	59	95	356	118	1022	1022	193	Goldenrod City	89	0	68	132	228	255	62
D37R0104	191	44	60	96	357	119	1073	1073	194	Goldenrod City	89	0	68	132	228	255	62
D37R0105	191	44	61	97	358	120	1073	1073	195	Goldenrod City	89	0	68	132	228	255	25
T25R0401	175	44	97	892	665	586	1022	1022	196	Goldenrod City	89	0	68	100	228	255	25
T25R0301	191	44	96	891	664	585	1022	1022	197	Goldenrod City	89	0	68	100	228	255	25
T25R0801	191	40	96	897	670	590	1022	1022	198	Goldenrod City	89	0	68	100	228	255	42
T25R0901	191	40	140	898	671	591	1022	1022	199	Goldenrod City	89	0	68	100	228	255	45
T25R1201	159	40	237	907	680	600	1154	1154	200	Global Terminal	89	0	68	96	228	255	63
T25R1301	15	0	119	139	399	3	1022	1022	0	Goldenrod City	89	0	68	100	228	255	63
T25R1302	15	0	120	139	399	3	1022	1022	0	Goldenrod City	89	0	68	100	228	255	63
T25R1303	15	0	121	139	399	3	1022	1022	0	Goldenrod City	89	0	68	100	228	255	63
T25R1304	15	0	122	139	399	3	1022	1022	0	Goldenrod City	89	0	68	100	228	255	63
T25R1305	15	0	123	139	399	3	1022	1022	0	Goldenrod City	89	0	68	100	228	255	63
T25R1306	15	0	124	139	399	3	1022	1022	0	Goldenrod City	89	0	68	100	228	255	42
R39R0101	143	20	128	250	495	397	1036	1036	201	Route 39	169	0	68	100	228	255	42
R39R0201	143	20	129	251	496	398	1036	1036	202	Route 39	169	0	68	100	228	255	61
T27R0202	207	16	130	139	399	3	1023	1023	203	Ecruteak City	121	0	68	100	228	29	78
D18R0102	191	16	26	24	285	61	1076	1076	204	Burned Tower	164	0	3	136	236	255	2
D24R0201	15	0	0	139	399	3	1074	1074	0	Ruins of Alph	148	0	2	8	224	255	26
T25PC0102	191	44	77	888	661	3	1063	1063	205	Goldenrod City	89	0	68	100	228	255	47
D27R0102	159	32	48	139	399	3	1078	1078	206	Lighthouse	153	0	3	132	228	255	74
D27R0103	159	32	49	63	324	3	1078	1078	207	Lighthouse	153	0	51	36	244	255	47
D27R0104	159	32	50	139	399	3	1078	1078	208	Lighthouse	153	0	3	132	228	255	47
D27R0105	159	32	51	64	325	3	1078	1078	209	Lighthouse	153	0	3	132	228	255	47
D27R0106	159	32	52	65	326	3	1078	1078	210	Lighthouse	153	0	3	132	228	255	89
D27R0107	159	32	131	66	327	94	1078	1078	211	Lighthouse	153	0	3	132	228	255	26
T26PC0101	143	32	73	914	687	607	1063	1063	212	Olivine City	105	0	68	100	228	255	27
T26FS0101	143	32	104	912	685	605	1064	1064	213	Olivine City	105	0	68	100	228	255	25
T26R0301	143	28	97	916	689	608	1024	1024	214	Olivine City	105	0	68	100	228	255	25
T26R0501	159	28	97	917	690	609	1024	1024	215	Olivine City	105	0	68	100	228	255	25
T26R0601	143	28	97	918	691	610	1024	1024	216	Olivine City	105	0	68	100	228	255	42
T26R0701	143	32	136	919	692	611	1024	1024	217	Olivine City	105	0	68	100	228	255	25
T24R0201	95	44	95	880	653	576	1025	1025	218	Cianwood City	73	0	68	100	228	255	27
T24R0501	95	44	139	881	654	577	1025	1025	219	Cianwood City	73	0	68	100	228	255	25
T24R0601	95	44	97	882	655	578	1025	1025	220	Cianwood City	73	0	68	100	228	255	25
T24R0701	95	44	95	883	656	579	1025	1025	221	Cianwood City	73	0	68	100	228	255	26
T24PC0101	95	44	73	878	651	575	1063	1063	222	Cianwood City	73	0	68	100	228	61	76
D39R0102	95	17	133	100	361	3	1080	1080	223	Ice Path	132	0	3	168	238	62	76
D39R0103	95	17	134	101	362	123	1080	1080	224	Ice Path	132	0	3	184	238	63	76
D39R0104	95	17	135	139	399	3	1080	1080	225	Ice Path	132	0	3	184	238	255	63
P01R0101	143	32	137	152	402	255	1024	1024	226	Olivine City	169	0	68	100	228	255	26
T24PC0102	95	44	77	879	652	3	1063	1063	227	Cianwood City	73	0	68	100	228	44	85
D40R0102	127	44	142	102	363	3	1073	1073	228	Whirl Islands	180	22	3	168	238	46	85
D40R0104	127	44	143	103	364	124	1073	1073	229	Whirl Islands	180	0	3	184	174	255	98
D40R0107	127	44	144	104	365	125	1001	1001	230	Whirl Islands	180	0	195	176	12	255	63
R43R0201	15	17	69	256	501	403	1037	1037	231	Route 43	169	0	68	100	230	255	26
T28PC0101	15	21	73	935	708	624	1063	1063	232	Mahogany Town	169	0	68	100	228	255	64
D35R0102	15	21	53	89	350	112	1079	1079	233	Team Rocket HQ	169	0	67	100	164	255	64
D35R0103	15	21	54	90	351	113	1079	1079	234	Team Rocket HQ	169	0	67	100	164	255	64
D35R0104	15	21	55	91	352	114	1079	1079	235	Team Rocket HQ	169	0	67	100	164	54	79
D38R0102	239	20	63	139	399	3	1073	1073	236	Mt. Mortar	132	0	3	168	238	55	79
D38R0103	239	20	64	139	399	3	1073	1073	237	Mt. Mortar	132	0	3	168	238	56	79
D38R0104	239	20	65	98	359	121	1073	1073	238	Mt. Mortar	132	0	3	168	238	66	86
D44R0102	79	17	146	111	372	129	1081	1081	239	Dragon’s Den	180	0	3	168	238	255	2
C11	15	0	0	139	399	3	1070	1070	0	Fight Area	162	0	1	0	228	255	2
C11PC0101	15	0	0	139	399	3	1063	1063	0	Fight Area	169	0	68	0	228	255	2
C11PC0102	15	0	0	139	399	3	1063	1063	0	Fight Area	169	0	68	0	228	255	2
C11FS0101	15	0	0	139	399	3	1064	1064	0	Fight Area	169	0	68	0	228	255	2
C11R0101	15	0	0	139	399	3	1070	1070	0	Fight Area	169	0	68	0	228	255	2
C11R0201	15	0	0	139	399	3	1070	1070	0	Fight Area	169	0	68	0	228	255	2
C11R0301	15	0	0	139	399	3	1070	1070	0	Fight Area	169	0	68	0	228	255	2
C11R0401	15	0	0	139	399	3	1070	1070	0	Fight Area	169	0	68	0	228	255	2
C11PC0103	15	0	0	139	399	3	1063	1063	0	Fight Area	169	0	68	0	228	255	2
D31	15	0	0	139	399	3	1070	1070	0	Battle Park	162	0	68	0	228	255	2
D31R0101	15	0	0	139	399	3	1070	1070	0	Battle Park	169	0	68	0	228	255	56
D31R0201	127	28	232	69	330	96	1071	1071	240	Battle Tower	169	0	4	97	228	255	44
D31R0202	127	28	262	70	331	3	1071	1071	241	Battle Tower	169	0	68	96	4	255	2
D31R0203	15	0	0	139	399	3	1070	1070	0	Battle Tower	169	0	68	96	0	255	2
D31R0204	15	0	0	139	399	3	1070	1070	0	Battle Tower	169	0	68	96	0	255	2
D31R0205	15	0	0	139	399	3	1070	1070	0	Battle Tower	169	0	68	96	0	255	2
D31R0206	15	0	0	139	399	3	1070	1070	0	Battle Tower	169	0	68	96	0	255	38
D31R0207	127	28	263	75	336	99	1070	1070	242	Battle Tower	169	0	4	96	228	255	92
D32	127	28	230	76	337	100	1070	1070	243	Battle Frontier	145	0	129	96	246	255	46
D32R0101	127	28	231	80	341	103	1070	1070	244	Battle Frontier	153	0	68	100	228	255	56
D32R0201	15	0	232	83	344	3	1071	1071	245	Battle Tower	169	0	4	96	224	255	57
D32R0301	127	28	233	84	345	107	1143	1143	246	Battle Factory	169	0	4	97	100	255	58
D32R0401	127	28	234	85	346	108	1144	1144	247	Battle Hall	169	0	4	97	100	255	59
D32R0501	127	28	235	86	347	109	1146	1146	248	Battle Castle	169	0	4	97	100	255	60
D32R0601	127	28	236	87	348	110	1145	1145	249	Battle Arcade	169	26	4	97	100	82	70
D48R0101	95	40	152	121	382	136	1033	1033	250	Cliff Edge Gate	164	0	3	152	230	255	90
D49	175	24	153	122	383	137	1033	1033	251	Pokéathlon Dome	209	0	1	40	246	255	37
D49R0101	175	24	154	123	384	138	1134	1134	252	Pokéathlon Dome	217	0	68	116	228	255	37
D49R0102	175	24	155	124	385	139	1134	1134	253	Pokéathlon Dome	217	0	116	100	228	255	37
D49R0103	175	24	156	139	399	3	1134	1134	254	Pokéathlon Dome	217	0	68	100	228	255	37
D49R0104	175	24	157	125	386	140	1134	1134	255	Pokéathlon Dome	217	0	68	100	228	255	37
D49R0105	175	24	158	126	387	141	1134	1134	256	Pokéathlon Dome	217	0	68	100	228	255	37
D49R0106	175	24	159	127	388	142	1134	1134	257	Pokéathlon Dome	217	0	68	100	228	255	37
D49R0107	175	24	160	128	389	143	1141	1141	258	Pokéathlon Dome	217	0	68	100	228	255	42
D44R0103	79	17	149	112	373	130	1081	1081	259	Dragon’s Den	185	0	68	132	228	255	25
T30R0201	79	21	95	946	719	633	1027	1027	260	Blackthorn City	169	0	68	100	228	255	25
T30R0301	95	21	95	947	720	634	1027	1027	261	Blackthorn City	169	0	68	100	228	255	25
T30R0601	79	21	95	948	721	635	1027	1027	262	Blackthorn City	169	0	68	100	228	255	27
T30FS0101	79	21	104	942	715	630	1064	1064	263	Blackthorn City	169	0	68	100	228	255	26
T30PC0101	95	21	73	944	717	632	1063	1063	264	Blackthorn City	169	0	68	100	228	255	25
T29R0101	255	4	66	939	712	627	1037	1037	265	Lake of Rage	153	0	68	100	228	255	25
T29R0201	15	9	95	940	713	628	1037	1037	266	Lake of Rage	153	0	68	100	228	255	25
R26R0101	207	41	66	219	464	366	1062	1062	267	Route 26	201	1	68	100	228	255	42
R26R0201	207	45	147	220	465	367	1062	1062	268	Route 26	201	1	68	100	228	255	70
