===== Headers
# mapType	unkA	texture	matrix	scripts	levelScripts	texts	musicSpring	musicSummer	musicAutumn	musicWinder	wildPokemon	mapId	parentMapId	name	nameStyle	weather	camera	unkB	flags	unkC	nameIcon	flyX	flyY	flyZ
17	16	265	179	104	105	57	1069	1069	1069	1069	65535	52	28	Royal Unova	0	0	0	33	9	179	0	5	0	4
16	16	270	192	106	107	58	1028	1028	1028	1028	65535	53	28	Castelia City	0	0	0	37	73	192	0	5	0	4
16	16	217	33	108	109	59	1028	1028	1028	1028	65535	54	28	Castelia City	0	0	0	37	73	33	0	5	0	4
16	16	217	43	110	111	60	1028	1028	1028	1028	65535	55	28	Castelia City	0	0	0	33	73	43	0	5	0	4
16	16	217	33	112	113	61	1028	1028	1028	1028	65535	56	28	Castelia City	0	0	0	37	73	33	0	5	0	4
16	16	217	43	114	115	62	1028	1028	1028	1028	65535	57	28	Castelia City	0	0	0	33	73	43	0	5	0	4
16	16	217	33	116	117	63	1028	1028	1028	1028	65535	58	28	Castelia City	0	0	0	37	73	33	0	5	0	4
16	16	217	34	118	119	64	1028	1028	1028	1028	65535	59	28	Castelia City	0	0	0	33	73	34	0	5	0	4
16	16	217	33	120	121	65	1028	1028	1028	1028	65535	60	28	Castelia City	0	0	0	37	73	33	0	5	0	4
16	16	217	34	122	123	66	1028	1028	1028	1028	65535	61	28	Castelia City	0	0	0	33	73	34	0	5	0	4
0	5	26	0	124	125	67	1029	1029	1029	1029	65535	62	62	Nimbasa City	4	64	0	64	236	0	0	406	1	469
10	16	232	57	126	127	68	1062	1062	1062	1062	65535	63	62	Nimbasa City	0	0	0	33	73	65535	0	5	0	4
0	16	142	107	128	129	69	1029	1029	1029	1029	65535	64	62	Nimbasa City	0	64	0	64	236	107	0	16	0	16
16	16	211	13	130	131	70	1060	1060	1060	1060	65535	65	62	Nimbasa City	0	0	6	33	73	13	0	5	0	4
7	16	258	101	132	133	71	1066	1066	1066	1066	65535	66	62	Gear Station	4	0	0	33	73	101	0	5	0	4
16	16	258	165	134	135	72	1066	1066	1066	1066	65535	67	62	Gear Station	0	0	0	33	73	165	0	5	0	4
16	16	258	165	136	137	73	1066	1066	1066	1066	65535	68	62	Gear Station	0	0	0	33	73	165	0	5	0	4
16	16	258	165	138	139	74	1066	1066	1066	1066	65535	69	62	Gear Station	0	0	0	33	73	165	0	5	0	4
16	16	258	165	140	141	75	1066	1066	1066	1066	65535	70	62	Gear Station	0	0	0	33	73	165	0	5	0	4
16	16	258	165	142	143	76	1066	1066	1066	1066	65535	71	62	Gear Station	0	0	0	33	73	165	0	5	0	4
16	16	258	165	144	145	77	1066	1066	1066	1066	65535	72	62	Gear Station	0	0	0	33	73	165	0	5	0	4
16	16	258	165	146	147	78	1066	1066	1066	1066	65535	73	62	Gear Station	0	0	0	33	73	165	0	5	0	4
16	16	258	165	148	149	79	1066	1066	1066	1066	65535	74	62	Gear Station	0	0	0	33	73	165	0	5	0	4
16	16	258	167	150	151	80	1067	1067	1067	1067	65535	75	62	Battle Subway	0	0	0	33	73	167	0	5	0	4
16	16	258	166	152	153	81	1066	1066	1066	1066	65535	76	62	Battle Subway	0	0	0	33	73	166	0	5	0	4
9	16	233	58	154	155	82	1107	1107	1107	1107	65535	77	62	Musical Theater	0	0	0	33	73	58	0	5	0	4
9	16	233	116	156	157	83	1107	1107	1107	1107	65535	78	62	Musical Theater	0	0	0	33	73	116	0	5	0	4
16	16	259	98	158	159	84	1029	1029	1029	1029	65535	79	62	Nimbasa City	0	0	0	33	73	98	0	5	0	4
16	16	259	221	160	161	85	1029	1029	1029	1029	65535	80	62	Nimbasa City	0	0	0	33	73	221	0	5	0	4
16	16	259	105	162	163	86	1029	1029	1029	1029	65535	81	62	Nimbasa City	0	0	0	33	73	105	0	5	0	4
16	16	259	222	164	165	87	1029	1029	1029	1029	65535	82	62	Nimbasa City	0	0	0	33	73	222	0	5	0	4
16	16	259	176	166	167	88	1029	1029	1029	1029	65535	83	62	Nimbasa City	0	0	0	33	73	176	0	5	0	4
16	16	259	99	168	169	89	1029	1029	1029	1029	65535	84	62	Nimbasa City	0	0	0	33	73	99	0	5	0	4
16	16	259	223	170	171	90	1029	1029	1029	1029	65535	85	62	Nimbasa City	0	0	0	33	73	223	0	5	0	4
16	16	259	100	172	173	91	1029	1029	1029	1029	65535	86	62	Nimbasa City	0	0	0	33	73	100	0	5	0	4
16	16	259	220	174	175	92	1029	1029	1029	1029	65535	87	62	Nimbasa City	0	0	0	33	73	220	0	5	0	4
16	16	210	26	176	177	93	1029	1029	1029	1029	65535	88	62	Nimbasa City	0	0	0	33	73	26	0	5	0	4
16	16	210	27	178	179	94	1029	1029	1029	1029	65535	89	62	Nimbasa City	0	0	0	33	73	27	0	5	0	4
16	16	244	12	180	181	95	1065	1065	1065	1065	65535	90	326	Nimbasa Gate	0	0	0	34	77	65535	0	5	0	4
16	16	244	50	182	183	96	1065	1065	1065	1065	65535	91	329	Nimbasa Gate	0	0	0	34	77	65535	0	5	0	4
16	16	244	50	184	185	97	1065	1065	1065	1065	65535	92	383	Nimbasa Gate	0	0	0	34	77	65535	0	5	0	4
16	16	234	241	186	187	98	1029	1029	1029	1029	65535	93	62	Nimbasa City	0	0	0	33	73	241	0	5	0	4
16	16	210	26	188	189	99	1029	1029	1029	1029	65535	94	62	Nimbasa City	0	0	0	33	73	26	0	5	0	4
16	16	210	27	190	191	100	1029	1029	1029	1029	65535	95	62	Nimbasa City	0	0	0	33	73	27	0	5	0	4
0	6	34	0	192	193	101	1030	1030	1030	1030	1	96	96	Driftveil City	4	64	0	64	236	0	0	187	0	414
0	16	236	61	194	195	102	1063	1063	1063	1063	65535	97	96	Driftveil City	0	0	24	33	73	65535	0	5	0	4
0	16	236	180	196	197	103	1063	1063	1063	1063	65535	98	96	Driftveil City	0	0	0	33	73	65535	0	5	0	4
16	16	211	13	198	199	104	1060	1060	1060	1060	65535	99	96	Driftveil City	0	0	6	33	73	13	0	5	0	4
16	16	210	46	200	201	105	1030	1030	1030	1030	65535	100	96	Driftveil City	0	0	0	33	73	46	0	5	0	4
16	16	210	46	202	203	106	1030	1030	1030	1030	65535	101	96	Driftveil City	0	0	0	33	73	46	0	5	0	4
16	16	210	46	204	205	107	1030	1030	1030	1030	65535	102	96	Driftveil City	0	0	0	33	73	46	0	5	0	4
16	16	210	46	206	207	108	1030	1030	1030	1030	65535	103	96	Driftveil City	0	0	0	33	73	46	0	5	0	4
16	16	249	59	208	209	109	1030	1030	1030	1030	65535	104	96	Driftveil City	0	0	0	33	73	59	0	5	0	4
16	16	250	60	210	211	110	1030	1030	1030	1030	65535	105	96	Driftveil City	0	64	0	37	73	60	0	5	0	4
16	16	210	44	212	213	111	1030	1030	1030	1030	65535	106	96	Driftveil City	0	0	0	33	73	44	0	5	0	4
0	7	38	0	214	215	112	1031	1031	1031	1031	65535	107	107	Mistralton City	4	64	0	64	236	0	0	108	0	306
0	16	237	62	216	217	113	1062	1062	1062	1062	65535	108	107	Mistralton City	0	0	0	33	73	65535	0	5	0	4
16	16	211	13	218	219	114	1060	1060	1060	1060	65535	109	107	Mistralton City	0	0	6	33	73	13	0	5	0	4
16	16	210	46	220	221	115	1031	1031	1031	1031	65535	110	107	Mistralton City	0	0	0	33	73	46	0	5	0	4
0	16	245	63	222	223	116	1031	1031	1031	1031	65535	111	107	Mistralton City	0	0	0	33	73	63	0	5	0	4
0	16	210	46	224	225	117	1031	1031	1031	1031	65535	112	107	Mistralton City	0	0	0	33	73	46	0	5	0	4
0	8	42	0	226	227	118	1032	1032	1032	1032	2	113	113	Icirrus City	4	64	0	96	236	0	0	184	3	197
14	16	239	64	228	229	119	1062	1062	1062	1062	65535	114	113	Icirrus City	0	0	54	33	73	65535	0	5	0	4
16	16	211	13	230	231	120	1060	1060	1060	1060	65535	115	113	Icirrus City	0	0	6	33	73	13	0	5	0	4
16	16	210	46	232	233	121	1032	1032	1032	1032	65535	116	113	Icirrus City	0	0	0	33	73	46	0	5	0	4
16	16	210	44	234	235	122	1032	1032	1032	1032	65535	117	113	Icirrus City	0	0	0	33	73	44	0	5	0	4
16	16	210	46	236	237	123	1032	1032	1032	1032	65535	118	113	Icirrus City	0	0	0	33	73	46	0	5	0	4
16	16	210	46	238	239	124	1032	1032	1032	1032	65535	119	113	Icirrus City	0	0	0	33	73	46	0	5	0	4
0	9	50	0	240	241	125	1033	1033	1033	1033	65535	120	120	Opelucid City	4	64	0	64	236	0	0	425	0	174
14	16	240	66	242	243	126	1062	1062	1062	1062	65535	121	120	Opelucid City	0	0	64	33	73	65535	0	5	0	4
16	16	211	13	244	245	127	1060	1060	1060	1060	65535	122	120	Opelucid City	0	0	6	33	73	13	0	5	0	4
16	16	242	68	246	247	128	1033	1033	1033	1033	65535	123	120	Opelucid City	0	0	0	33	73	68	0	5	0	4
16	16	242	161	248	249	129	1033	1033	1033	1033	65535	124	120	Opelucid City	0	0	0	33	73	161	0	5	0	4
16	16	242	68	250	251	130	1033	1033	1033	1033	65535	125	120	Opelucid City	0	0	0	33	73	68	0	5	0	4
16	16	242	161	252	253	131	1033	1033	1033	1033	65535	126	120	Opelucid City	0	0	0	33	73	161	0	5	0	4
16	16	242	68	254	255	132	1033	1033	1033	1033	65535	127	120	Opelucid City	0	0	0	33	73	68	0	5	0	4
16	16	242	161	256	257	133	1033	1033	1033	1033	65535	128	120	Opelucid City	0	0	0	33	73	161	0	5	0	4
16	16	242	68	258	259	134	1033	1033	1033	1033	65535	129	120	Opelucid City	0	0	0	33	73	68	0	5	0	4
16	16	242	161	260	261	135	1033	1033	1033	1033	65535	130	120	Opelucid City	0	0	0	33	73	161	0	5	0	4
16	16	244	50	262	263	136	1065	1065	1065	1065	65535	131	348	Opelucid Gate	0	0	0	34	77	65535	0	5	0	4
16	16	244	12	264	265	137	1065	1065	1065	1065	65535	132	355	Opelucid Gate	0	0	0	34	77	65535	0	5	0	4
16	16	244	50	266	267	138	1065	1065	1065	1065	65535	133	365	Opelucid Gate	0	0	0	34	77	65535	0	5	0	4
16	16	242	68	268	269	139	1033	1033	1033	1033	65535	134	120	Opelucid City	0	0	0	33	73	68	0	5	0	4
16	16	242	161	270	271	140	1033	1033	1033	1033	65535	135	120	Opelucid City	0	0	0	33	73	161	0	5	0	4
5	16	126	87	272	273	141	1073	1073	1073	1073	65535	136	136	Pokémon League	4	64	10	64	172	87	0	19	0	49
14	16	126	210	274	275	142	1073	1073	1073	1073	65535	137	136	Pokémon League	0	64	40	69	8	267	0	32	0	46
20	16	126	211	276	277	143	1073	1073	1073	1073	65535	138	136	Pokémon League	0	64	42	65	8	211	0	30	0	83
0	16	126	219	278	279	144	1075	1075	1075	1075	65535	139	136	Pokémon League	0	64	0	64	8	219	0	30	0	32
15	16	243	121	280	281	145	1073	1073	1073	1073	65535	140	136	Pokémon League	0	0	32	97	9	65535	0	16	0	16
15	16	261	122	282	283	146	1073	1073	1073	1073	65535	141	136	Pokémon League	0	0	34	161	9	65535	0	16	0	16
15	16	262	123	284	285	147	1073	1073	1073	1073	65535	142	136	Pokémon League	0	0	36	129	9	65535	0	16	0	16
15	16	263	124	286	287	148	1073	1073	1073	1073	65535	143	136	Pokémon League	0	0	38	193	9	65535	0	16	0	16
16	16	247	125	288	289	149	1073	1073	1073	1073	65535	144	136	Pokémon League	0	0	0	1	10	125	0	16	0	16
16	16	247	126	290	291	150	1001	1001	1001	1001	65535	145	136	Pokémon League	0	0	0	33	9	126	0	16	0	16
16	16	211	54	292	293	151	1073	1073	1073	1073	65535	146	136	Pokémon League	0	0	6	33	9	54	0	16	0	16
0	14	86	0	294	295	152	1042	1043	1044	1045	65535	147	147	Unity Tower	4	64	0	64	236	0	0	395	0	748
16	16	264	168	296	297	153	1072	1072	1072	1072	65535	148	147	Unity Tower	0	0	0	37	73	168	0	5	0	4
16	16	264	227	298	299	154	1072	1072	1072	1072	65535	149	147	Unity Tower	0	0	0	33	73	227	0	5	0	4
6	16	253	89	300	301	156	1060	1060	1060	1060	65535	150	422	－－－－－－－－－－	0	0	0	33	73	89	0	5	0	4
6	16	253	102	302	303	157	1060	1060	1060	1060	65535	151	422	－－－－－－－－－－	0	0	0	33	73	102	0	5	0	4
16	16	102	14	304	305	160	1077	1077	1077	1077	3	152	152	Dreamyard	4	64	0	0	108	14	0	5	0	4
16	16	218	15	306	307	161	1077	1077	1077	1077	4	153	152	Dreamyard	0	0	0	35	73	15	0	5	0	4
0	2	10	0	308	309	162	1038	1039	1040	1041	5	154	154	Pinwheel Forest	4	64	0	0	236	0	0	592	0	599
0	16	106	16	310	311	163	1077	1077	1077	1077	6	155	154	Pinwheel Forest	4	64	0	192	108	16	0	5	0	4
16	16	106	224	312	313	164	1077	1077	1077	1077	65535	156	154	Rumination Field	4	64	0	192	108	224	0	5	0	4
0	4	22	0	314	315	165	1042	1043	1044	1045	7	157	157	Desert Resort	4	0	0	64	237	0	0	371	0	499
0	16	22	103	316	317	166	1078	1078	1078	1078	8	158	157	Desert Resort	4	0	0	64	109	103	0	5	0	4
0	16	244	12	318	319	167	1065	1065	1065	1065	65535	159	157	Route Gate	0	0	0	34	77	65535	0	5	0	4
16	16	219	17	320	321	168	1080	1080	1080	1080	9	160	160	Relic Castle	4	0	0	35	93	17	0	5	0	4
16	16	219	18	322	323	169	1080	1080	1080	1080	10	161	160	Relic Castle	0	0	0	35	93	18	0	5	0	4
16	16	219	19	324	325	170	1080	1080	1080	1080	11	162	160	Relic Castle	0	0	0	35	93	19	0	5	0	4
16	16	219	20	326	327	171	1080	1080	1080	1080	12	163	160	Relic Castle	0	0	0	35	93	20	0	5	0	4
16	16	219	21	328	329	172	1080	1080	1080	1080	13	164	160	Relic Castle	0	0	0	35	93	21	0	5	0	4
16	16	219	22	330	331	173	1080	1080	1080	1080	14	165	160	Relic Castle	0	0	0	35	93	22	0	5	0	4
16	16	219	70	332	333	174	1080	1080	1080	1080	15	166	160	Relic Castle	0	0	0	35	93	70	0	5	0	4
16	16	219	71	334	335	175	1080	1080	1080	1080	16	167	160	Relic Castle	0	0	0	35	93	71	0	5	0	4
16	16	219	71	336	337	176	1080	1080	1080	1080	17	168	160	Relic Castle	0	0	0	35	93	71	0	5	0	4
16	16	219	71	338	339	177	1080	1080	1080	1080	18	169	160	Relic Castle	0	0	0	35	93	71	0	5	0	4
16	16	219	71	340	341	178	1080	1080	1080	1080	19	170	160	Relic Castle	0	0	0	35	93	71	0	5	0	4
16	16	219	72	342	343	179	1080	1080	1080	1080	20	171	160	Relic Castle	0	0	0	35	93	72	0	5	0	4
16	16	219	72	344	345	180	1080	1080	1080	1080	21	172	160	Relic Castle	0	0	0	35	93	72	0	5	0	4
16	16	219	72	346	347	181	1080	1080	1080	1080	22	173	160	Relic Castle	0	0	0	35	93	72	0	5	0	4
16	16	219	72	348	349	182	1080	1080	1080	1080	23	174	160	Relic Castle	0	0	0	35	93	72	0	5	0	4
16	16	219	72	350	351	183	1080	1080	1080	1080	24	175	160	Relic Castle	0	0	0	35	93	72	0	5	0	4
16	16	219	72	352	353	184	1080	1080	1080	1080	25	176	160	Relic Castle	0	0	0	35	93	72	0	5	0	4
16	16	219	73	354	355	185	1080	1080	1080	1080	26	177	160	Relic Castle	0	0	0	35	93	73	0	5	0	4
16	16	219	73	356	357	186	1080	1080	1080	1080	27	178	160	Relic Castle	0	0	0	35	93	73	0	5	0	4
16	16	219	74	358	359	187	1080	1080	1080	1080	28	179	160	Relic Castle	0	0	0	35	93	74	0	5	0	4
16	16	219	74	360	361	188	1080	1080	1080	1080	29	180	160	Relic Castle	0	0	0	35	93	74	0	5	0	4
16	16	219	75	362	363	189	1080	1080	1080	1080	30	181	160	Relic Castle	0	0	0	35	93	75	0	5	0	4
16	16	219	76	364	365	190	1080	1080	1080	1080	31	182	160	Relic Castle	0	0	0	35	93	76	0	5	0	4
16	16	219	78	366	367	191	1080	1080	1080	1080	32	183	160	Relic Castle	0	0	0	35	93	78	0	5	0	4
16	16	219	79	368	369	192	1080	1080	1080	1080	33	184	160	Relic Castle	0	0	0	35	93	79	0	5	0	4
16	16	219	80	370	371	193	1080	1080	1080	1080	34	185	160	Relic Castle	0	0	0	35	93	80	0	5	0	4
16	16	219	81	372	373	194	1080	1080	1080	1080	35	186	160	Relic Castle	0	0	0	35	93	81	0	5	0	4
16	16	219	82	374	375	195	1080	1080	1080	1080	36	187	160	Relic Castle	0	0	0	35	93	82	0	5	0	4
16	16	219	83	376	377	196	1080	1080	1080	1080	37	188	160	Relic Castle	0	0	0	35	93	83	0	5	0	4
16	16	219	84	378	379	197	1080	1080	1080	1080	38	189	160	Relic Castle	0	0	0	35	93	84	0	5	0	4
16	16	219	85	380	381	198	1080	1080	1080	1080	39	190	160	Relic Castle	4	0	0	35	93	85	0	5	0	4
0	6	34	0	382	383	199	1030	1030	1030	1030	40	191	191	Cold Storage	4	64	0	64	236	0	0	178	0	454
16	16	220	86	384	385	200	1079	1079	1079	1079	65535	192	191	Cold Storage	0	0	0	33	73	86	0	5	0	4
16	16	220	69	386	387	201	1079	1079	1079	1079	65535	193	191	Cold Storage	0	0	0	35	73	69	0	5	0	4
0	6	34	0	388	389	202	1046	1047	1048	1049	65535	194	194	Chargestone Cave	4	64	0	224	236	0	0	106	0	345
0	16	221	23	390	391	203	1078	1078	1078	1078	41	195	194	Chargestone Cave	0	64	0	131	92	23	0	5	0	4
16	16	221	24	392	393	204	1078	1078	1078	1078	42	196	194	Chargestone Cave	0	64	0	131	92	24	0	5	0	4
16	16	221	25	394	395	205	1078	1078	1078	1078	43	197	194	Chargestone Cave	0	64	0	131	92	25	0	5	0	4
0	7	38	0	396	397	206	1046	1047	1048	1049	65535	198	198	Twist Mountain	4	64	0	224	236	0	0	145	0	210
16	16	110	93	398	399	207	1079	1079	1079	1079	65535	199	198	Twist Mountain	0	64	0	224	124	93	0	5	0	4
16	16	222	94	400	401	208	1079	1079	1079	1079	44	200	198	Twist Mountain	0	64	0	131	92	94	0	5	0	4
16	16	222	95	402	403	209	1079	1079	1079	1079	45	201	198	Twist Mountain	0	64	0	131	92	95	0	5	0	4
16	16	222	96	404	405	210	1079	1079	1079	1079	46	202	198	Twist Mountain	0	64	0	131	92	65535	0	5	0	4
16	16	222	97	406	407	211	1079	1079	1079	1079	47	203	198	Twist Mountain	0	64	0	131	92	97	0	5	0	4
16	16	255	91	408	409	212	1079	1079	1079	1079	65535	204	198	Twist Mountain	0	0	0	32	73	91	0	5	0	4
0	8	42	0	410	411	213	1046	1047	1048	1049	48	205	205	Dragonspiral Tower	4	64	0	32	236	0	0	175	0	151
16	16	114	207	412	413	214	1081	1081	1081	1081	49	206	205	Dragonspiral Tower	0	0	0	32	172	207	0	16	0	16
16	16	223	200	414	415	215	1081	1081	1081	1081	50	207	205	Dragonspiral Tower	0	0	0	33	9	200	0	16	0	16
16	16	223	201	416	417	216	1081	1081	1081	1081	51	208	205	Dragonspiral Tower	0	0	0	33	9	201	0	16	0	16
7	16	223	202	418	419	217	1081	1081	1081	1081	65535	209	205	Dragonspiral Tower	0	0	0	33	9	65535	0	0	0	0
16	16	223	203	420	421	218	1081	1081	1081	1081	65535	210	205	Dragonspiral Tower	0	0	0	33	9	203	0	16	0	16
7	16	223	204	422	423	219	1081	1081	1081	1081	65535	211	205	Dragonspiral Tower	0	0	0	33	9	65535	0	0	0	0
16	16	223	205	424	425	220	1081	1081	1081	1081	65535	212	205	Dragonspiral Tower	0	0	0	33	9	205	0	16	0	16
16	16	223	206	426	427	221	1083	1083	1083	1083	65535	213	205	Dragonspiral Tower	0	0	0	37	42	206	0	16	0	16
12	16	58	162	428	429	222	1084	1084	1084	1084	52	214	214	Victory Road	4	64	22	224	44	65535	0	0	5	0
16	16	224	151	430	431	223	1084	1084	1084	1084	53	215	214	Victory Road	0	64	0	163	28	151	0	16	0	16
16	16	224	152	432	433	224	1084	1084	1084	1084	54	216	214	Victory Road	0	64	0	163	28	152	0	16	0	16
16	16	224	153	434	435	225	1084	1084	1084	1084	55	217	214	Victory Road	0	64	0	163	28	153	0	5	0	4
16	16	224	154	436	437	226	1084	1084	1084	1084	56	218	214	Victory Road	0	64	0	163	28	154	0	5	0	4
16	16	224	155	438	439	227	1084	1084	1084	1084	57	219	214	Victory Road	0	64	0	163	28	155	0	5	0	4
16	16	224	156	440	441	228	1084	1084	1084	1084	58	220	214	Victory Road	0	64	0	163	28	156	0	5	0	4
16	16	224	157	442	443	229	1084	1084	1084	1084	59	221	214	Victory Road	0	64	0	163	28	157	0	5	0	4
16	16	224	158	444	445	230	1084	1084	1084	1084	60	222	214	Victory Road	0	64	0	163	28	158	0	5	0	4
16	16	224	159	446	447	231	1084	1084	1084	1084	61	223	214	Victory Road	0	64	0	163	28	159	0	5	0	4
16	16	224	194	448	449	232	1084	1084	1084	1084	62	224	214	Victory Road	0	64	0	163	28	194	0	5	0	4
16	16	224	195	450	451	233	1084	1084	1084	1084	63	225	214	Victory Road	0	64	0	163	28	195	0	5	0	4
16	16	224	196	452	453	234	1084	1084	1084	1084	64	226	214	Victory Road	0	64	0	163	28	196	0	5	0	4
16	16	224	197	454	455	235	1084	1084	1084	1084	65	227	214	Victory Road	0	64	0	163	28	197	0	5	0	4
16	16	224	198	456	457	236	1084	1084	1084	1084	66	228	214	Victory Road	0	64	0	163	28	198	0	5	0	4
